Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
kworker/6:0-eve:329511,19.081 ms,233,avg:   0.255 ms,max:  10.961 ms,max start: 96378.332512 s,max end: 96378.343473 s
ibus-engine-sim:4269,0.221 ms,2,avg:   0.251 ms,max:   0.457 ms,max start: 96357.039590 s,max end: 96357.040047 s
expr:(3),5.890 ms,4,avg:   0.241 ms,max:   0.902 ms,max start: 96374.586469 s,max end: 96374.587370 s
kworker/3:1H-kb:302,2.402 ms,37,avg:   0.236 ms,max:   0.984 ms,max start: 96346.745494 s,max end: 96346.746478 s
kworker/u49:7-b:339754,27.310 ms,49,avg:   0.222 ms,max:   0.958 ms,max start: 96346.747531 s,max end: 96346.748489 s
kworker/u50:26-:339785,54.995 ms,104,avg:   0.212 ms,max:   1.402 ms,max start: 96378.309461 s,max end: 96378.310863 s
ibus-extension-:3864,0.441 ms,1,avg:   0.210 ms,max:   0.210 ms,max start: 96357.039618 s,max end: 96357.039828 s
mkdir:(65),95.471 ms,99,avg:   0.208 ms,max:   4.992 ms,max start: 96378.374481 s,max end: 96378.379473 s
kworker/4:1H-kb:296,3.302 ms,55,avg:   0.199 ms,max:   1.695 ms,max start: 96341.640791 s,max end: 96341.642486 s
msgfmt:(51),2101.256 ms,1460,avg:   0.189 ms,max:   6.983 ms,max start: 96378.369476 s,max end: 96378.376459 s
kworker/5:1H-kb:411,3.439 ms,54,avg:   0.179 ms,max:   1.307 ms,max start: 96341.587171 s,max end: 96341.588478 s
kworker/u50:35-:339794,100.487 ms,130,avg:   0.165 ms,max:   1.004 ms,max start: 96378.326472 s,max end: 96378.327476 s
kworker/u50:3-b:342528,221.959 ms,445,avg:   0.163 ms,max:   1.012 ms,max start: 96346.934478 s,max end: 96346.935490 s
cc1:(556),264427.627 ms,214343,avg:   0.150 ms,max:  12.583 ms,max start: 96357.506480 s,max end: 96357.519062 s
mutter-x11-fram:26684,23.433 ms,190,avg:   0.148 ms,max:   1.643 ms,max start: 96357.616855 s,max end: 96357.618498 s
kworker/u50:28-:339787,135.570 ms,220,avg:   0.141 ms,max:   1.006 ms,max start: 96341.596484 s,max end: 96341.597490 s
kworker/1:1H-kb:355,2.580 ms,45,avg:   0.139 ms,max:   1.438 ms,max start: 96346.765031 s,max end: 96346.766469 s
codium:gdrv0:314628,11.904 ms,73,avg:   0.139 ms,max:   1.453 ms,max start: 96357.547018 s,max end: 96357.548471 s
as:(556),11753.214 ms,9666,avg:   0.133 ms,max:   3.999 ms,max start: 96347.633486 s,max end: 96347.637485 s
irqbalance:974,5.682 ms,10,avg:   0.132 ms,max:   1.015 ms,max start: 96370.010470 s,max end: 96370.011485 s
ld:(22),6457.520 ms,4342,avg:   0.129 ms,max:   5.705 ms,max start: 96378.298467 s,max end: 96378.304173 s
codium:cs0:314620,107.248 ms,556,avg:   0.128 ms,max:   4.527 ms,max start: 96357.498291 s,max end: 96357.502819 s
git:(31),313.612 ms,99,avg:   0.125 ms,max:   1.000 ms,max start: 96377.236462 s,max end: 96377.237462 s
kworker/u49:10-:339757,200.998 ms,337,avg:   0.123 ms,max:   1.013 ms,max start: 96341.558471 s,max end: 96341.559484 s
which:(4),24.896 ms,12,avg:   0.120 ms,max:   1.002 ms,max start: 96343.148475 s,max end: 96343.149478 s
gdbus:(12),21.424 ms,49,avg:   0.118 ms,max:   0.923 ms,max start: 96357.037554 s,max end: 96357.038477 s
ThreadPoolForeg:(12),1461.213 ms,1316,avg:   0.116 ms,max:   2.468 ms,max start: 96357.613490 s,max end: 96357.615957 s
kworker/u50:34-:339793,96.320 ms,148,avg:   0.111 ms,max:   1.005 ms,max start: 96341.597490 s,max end: 96341.598495 s
ThreadPoolServi:314640,1.317 ms,16,avg:   0.107 ms,max:   0.679 ms,max start: 96359.543447 s,max end: 96359.544126 s
kworker/u49:4-e:339751,148.326 ms,176,avg:   0.101 ms,max:   1.013 ms,max start: 96346.747481 s,max end: 96346.748494 s
kworker/u52:2-t:340222,0.184 ms,7,avg:   0.098 ms,max:   0.389 ms,max start: 96379.310080 s,max end: 96379.310469 s
kworker/u50:39-:339798,267.137 ms,1126,avg:   0.097 ms,max:   1.020 ms,max start: 96346.954478 s,max end: 96346.955498 s
kworker/u49:8-b:342469,215.752 ms,635,avg:   0.097 ms,max:   1.019 ms,max start: 96341.647473 s,max end: 96341.648491 s
ps:(4),137.784 ms,35,avg:   0.094 ms,max:   1.017 ms,max start: 96361.791476 s,max end: 96361.792493 s
kworker/u49:1-b:339750,242.265 ms,986,avg:   0.094 ms,max:   1.220 ms,max start: 96357.617999 s,max end: 96357.619219 s
kworker/u50:22-:339781,287.034 ms,710,avg:   0.081 ms,max:   1.008 ms,max start: 96346.818481 s,max end: 96346.819489 s
kworker/u49:13-:339760,215.394 ms,642,avg:   0.079 ms,max:   1.023 ms,max start: 96341.570473 s,max end: 96341.571497 s
Xwayland:cs0:26659,119.534 ms,870,avg:   0.077 ms,max:   1.023 ms,max start: 96356.048468 s,max end: 96356.049491 s
kworker/u49:15-:342545,27.059 ms,163,avg:   0.077 ms,max:   1.005 ms,max start: 96341.577479 s,max end: 96341.578484 s
codium:gl0:314629,4.159 ms,47,avg:   0.076 ms,max:   0.582 ms,max start: 96354.495918 s,max end: 96354.496500 s
gnome-shel:cs0:3583,77.121 ms,535,avg:   0.074 ms,max:   0.944 ms,max start: 96378.361545 s,max end: 96378.362489 s
kworker/u53:5-t:340492,0.404 ms,17,avg:   0.072 ms,max:   0.334 ms,max start: 96357.916670 s,max end: 96357.917004 s
kworker/u49:0-b:342430,73.457 ms,352,avg:   0.071 ms,max:   1.000 ms,max start: 96346.850489 s,max end: 96346.851489 s
kswapd0:124,851.032 ms,608,avg:   0.071 ms,max:   1.011 ms,max start: 96357.631472 s,max end: 96357.632483 s
